0,1,2,3,4,5,6,7
London, HOU-JAX, NFLN, 1.9, —, 2.96M, —, 1.1
Date/time, Game, Net, Rtg., +/-, Vwrs., +/-, A18-49
Late DH, CLE-NE (71%), CBS, 12.0, -6%, 21.03M, -4%, 5.9
SNF, GB-KC, NBC, 10.4, +25%, 18.32M, +30%, 5.9
Single, PHI-BUF (33%);CAR-SF (22%), FOX, 10.0, +9%, 17.41M, +12%, 4.6
TNF, WSH-MIN, FOXNFLN, 8.3, +11%, 13.48M, +12%, 3.9
Regional, AZ-NO (39%);DEN-IND (26%), CBS, 7.3, +12%, 12.10M, +17%, 3.3
MNF, MIA-PIT, ESPN, 6.0, -9%, 9.98M, -8%, 3.1
Date/time, Game, Net, Rtg., +/-, Vwrs., +/-, A18-49
Late DH, NO-CHI (64%), FOX, 13.3, +9%, 23.04M, +10%, 6.4
SNF, PHI-DAL, NBC, 12.2, +28%, 21.45M, +34%, 6.6
TNF, KC-DEN, FOXNFLN, 8.3, +48%, 13.68M, +50%, 4.2
Single, OAK-GB (49%);LAC-TEN (27%), CBS, 8.0, -11%, 13.24M, -12%, 3.6
Early DH, MIN-DET (36%);AZ-NYG (35%), FOX, 7.05, -7%, 11.88M, -6%, 3.4
MNF, NE-NYJ, ESPN, 6.4, flat, 10.84M, +5%, 3.7
Date/time, Game, Net, Rtg., +/-, Vwrs., +/-, A18-49
Late DH, DAL-NYJ (91%), CBS, 12.2, +20%, 21.42M, +21%, 6.0
Single, PHI-MIN (42%);SF-LAR (23%), FOX, 9.5, -5%, 16.37M, -5%, 4.5
TNF, NYG-NE, FOXNFLN, 9.5, +7%, 16.00M, +9%, 4.8
SNF, PIT-LAC, NBC, 8.6, -30%, 14.89M, -29%, 4.6
MNF, DET-GB, ESPN, 7.9, +10%, 13.34M, +12%, 4.45
Early DH, HOU-KC (72%), CBS, 7.7, +10%, 13.00M, +13%, 3.7
London, CAR-TB, NFLN, 1.9, —, 3.08M, —, 1.1
Date/time, Game, Net, Rtg., +/-, Vwrs., +/-, A18-49
Late DH, GB-DAL, FOX, 13.8, +13%, 24.60M, +17%, 7.2
SNF, IND-KC, NBC, 10.6, -1%, 18.13M, -2%, 5.6
